ID,description,subject,title,runtime
xzwb0044,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,910000 CAMEL GENERAL MARKET PRE-SELL,
yfhb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,MANAGEMENT 111 1992 (920000) PRESIDENT'S ADDRESS RJR TOBACCO INTERNATIONAL 12/15/92 (921215) 18:52. RUNNING TIME 20:25.,
yfjw0178,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,HOW CIGARETTES ARE MADE,
yfkv0183,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"PHILIP MORRIS / YOUNG RUBICAM YOUTH SMOKING PREVENTION ( TITLES ONLY) 1. ""BUS"" 2. ""PIZZA"" 3. ""PARKING LOT"" 4. ""FISH"" 5. ""CHIMP"" 6. ""A LITTLE CREDIT 7. ""WHO YOU ARE"" 8. ""BEING DIFFERENT""",
yfwk0146,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"THE TOBACCO INSTITUTE; FNN MARKETWRAP; FNN-TV; WASHINGTON, D.C.",
yfxh0257,Deposition of James Rauch in RE: National Prescription Opiate Litigation; in 8 parts,lawsuit; legal activity; litigation; opioids; sales; marketing; <a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"Deposition of James Jim Rausch, Customer Service Manager for Finished Goods",
yghb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,PR 220 PUBLIC RELATIONS OFFSITE MEETING YEARLY HIGHLIGHTS DUB 10-29-96 (961029). RUNNING TIME 0:14:49.,
yghj0223,,tobacco; cigarette;<a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=tobaccoarchives'>Browse by keywords in UCSF tobacco industry videos</a>; <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"NATIONAL 4-H COUNCIL, CAROLYN LEVY, 990416 REVIEW.COPY TRT: 12:19",
yglp0010,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,ARCHIVE LOCATION VARIANCE SHEET,
ygvp0038,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,CLUB BENSON & HEDGES 100 NIGHTS LIVE.,
