ID,description,subject,title,runtime
rzhh0257,Deposition of Sharon Herbold in RE: National Prescription Opiate Litigation; in 2 parts,lawsuit; legal activity; litigation; opioids; sales; marketing,"Deposition of Cheryl Herbold, Specialty Sales Representative",1:38:06
sfhb0039,This is a compliation of news reports on tobacco executives testifying on Capitol Hill about reports that cigarettes companies spike cigarettes with additional nicotine to hook users.,tobacco; cigarette; news; news report; politics; testimony,PR 152 NIGHTLINE-TOBACCO HEARINGS 4/14/94 (940414) (RUNNING TIME 21:29MIN).,0:21:05
sfxh0257,Deposition of Cathy Stewart in RE: National Prescription Opiate Litigation; in 6 parts,lawsuit; legal activity; litigation; opioids; sales; marketing,"Deposition of Cathy Stewart, Manager of Customer Service",0:59:04
sgfk0146,This is a news report about the issue of smoking in airplanes.,tobacco; cigarette; smoking; controversy; society,NEWSMAKER; CNN-TV; WASH. DC,0:24:49
sghj0223,This is a compliation of youth smoking prevention ads.by the Surgeon General.,tobacco; cigarette; youth; PSA,YOUNG AND RUBICAM YOUTH SMOKING PREVENTION,0:05:01
sgwm0256,Clip of interview with physician after drug presentation - discussion of efficacy and name recall,opioids; physician interview; sales and marketing,"UNAIDED RECALL NO NAME, MISSED KEY MESSAGES",0:00:52
sgxb0079,"This is a commercial telling adolescents to make the right decisions, possibly regarding smoking.",tobacco; cigarette; prevention,"RIGHT DECISIONS, RIGHT NOW,"" YOUTH NON-SMOKING PROGRAM",0:04:19
shdh0182,(error code: 224003),tobacco; cigarette,"THE BRAVO GROUP, CLIENT PHILIP MORRIS, TITLE 'FOLLOW THE LEADER' :30",0:03:38
shgb0191,This is an advertisement for Marlboro.,tobacco; cigarette; advertisement; marketing; promotion,MARLBORO,0:01:00
shhb0039,This is a compliation of commercials by the Camel cigarettte company.,tobacco; cigarette; advertisement; marketing; promotion,Camel Cigarette Company commericals,0:11:20
sjdv0183,(error code: 224003),tobacco; cigarette,REUTERS CORP. TV INDOOR AIR QUALITY ISSUES FOR THE 900000 TRT: 11:44,0:06:56
sjhv0183,(error code: 224003),tobacco; cigarette;,"PHILIP MORRIS / YOUNG & RUBICAM / BRAVO YOUTH SMOKING PREVENTION 991020 ""ON THE BEACH"" : 30 ""ADVICE"" : 30 ""FOLLOW THE LEADER"" : 30 ENGLISH ""FATHER KNOWS BEST"" : 30 ""TEN O'CLOCK"" 30",0:06:56
sjnj0229,This is footage of a lab technician doing an experiment on cigarettes.,tobacco; cigarette; science; footage; experiment,"CIG10 2NDPUFF 10XFASTER,WMV",0:00:10
sjwk0146,This is a CNN interview between a newscaster and the U.S. Surgeon General about cigarettes.,tobacco; cigarette;cigarette additive; nicotine; addiction; anti-smoking advocacy; Food and Drug Administration; television; youth; children; African American; menthol cigarette; tobacco farming; excise tax; regulation; government; military personnel; public place; import; Surgeon General,"BOTH SIDES WITH JESSE JACKSON 3-3:30 AM, N/A, CNN",0:28:49
skdh0182,(error code: 224003),tobacco; cigarette,ARCHIVE LOCATION VARIANCE SHEET,0:06:41
skhb0039,This is a anti-smoking ad for youth narrated by a camel.,tobacco; cigarette; prevention,COALITION SMOKE FREE (ARIZONA) VOICE OF A CAMEL PHOENIX ,0:00:36
sknh0063,This is a marketing presentation at the Lorillard Managment Conference.,tobacco; cigarette; sales; marketing; ,"LORILLARD MANAGEMENT CONFERENCE: SPELL, RB; TELFORD, GR; SALES/ MARKETING OVERVIEW",0:21:40
slhb0039,This is a news report regarding RJ Reynolds' testimony at Capitol Hill.,tobacco; cigarette; news; news report; politics; testimony,R.J. REYNOLDS TOBACCO COMPANY NIGHTLINE NEWS 11:30 PM-12:00 AM ABC JIM JOHNSTON,0:21:06
slxb0079,This is an advertisement for Winston cigarettes using race car driving.,tobacco; cigarette; advertisement,WHAT YOU SEE IS WHAT YOU GET JUST DON'T BLINK. NO BULL.,0:08:50
smgp0190,This is a cigarette commercial in the middle of a program for Hogan's Heroes.,tobacco; cigarette; commercial; advertisement; television,Hogan's Heroes Cigarette Commercial,0:03:14
smhb0039,This is a social experiment for cigarettes in Chicago.,tobacco; cigarette; social; experiment; science,UNTITLED VIDEO FROM THE CHICAGO LUNG ASSOCIATION,0:09:04
smpj0015,This is a testimonial of a woman about how Eclipse new nonsmoking cigarettes have helped themselves in their lives.,tobacco; cigarette; interview; testimonials; new product,Eclipse Cigarette Testimonial - Las Vegas,0:25:10
smyk0094,This is a presentation video with no audio about the creative services within the RJR cigarette company.,tobacco; cigarette; presentation; strategy; company,CREATIVE SERVICES AV SLIDE TRANSFER (NO AUDIO) VIDEO HIGHLIGHTS,0:25:56
sngp0190,This is a cigarette advertisement utiliizing some actors from I Love Lucy.,tobacco; cigarette; commercial; advertisement; celebrities,I Love Lucy Cigarette Advertisement,0:01:10
snhk0146,This is a compliation of news reports about the banning of cigarettes for people under the age of 18.,tobacco; cigarette; news report; law; politics; youth smoking,TOBACCO INSTITUTE YOUTH CIGARETTE BAN,0:13:34
snwv0183,(error code: 224003),tobacco; cigarette,MARLBORO TEAM PENSKE 980000 B-ROLL,0:10:04
spgl0191,This is an informative video showing how the structure of a cigarette has changed over time,tobacco; cigarette; product; design,Cigarette Design Over Time,0:01:59
spgp0190,This is an advertisment for a cinnamon gum during a program of Gilligan's island.,mint; advertisement; televsion,Video excerpt from Gilligan's Island,0:01:43
sqdv0183,(error code: 224003),tobacco; cigarette,9TH ANNUAL 980911 - 980912,0:09:26
sqgp0190,This is a tobacco advertisement.,tobacco; cigarette; advertisement,"Video Tobacco Institute Ad, White Paper",0:00:32
sqhb0039,This is a video explaining the process of producing cigarettes.,tobacco; cigarette; process; product; manufacturing,TOBACCO MANUFACTURING (SLIDE PROGRAM) COLOR 30 MINUTES. RUNNING TIME 00:21:35.,0:21:09
srgp0190,This is a footage of a lab.,tobacco; cigarette; footage,Footage of a Lab,0:00:06
srhb0039,This is a guide for Camel cigarette company employees to be the best selling agent.,tobacco; cigarette; employees; training; sales,RETAIL CONVERSION SELLING AGENTS BEST PRACTICES,0:10:55
srxf0054,This is a compliation of commercials against anti-tobacco legislations in Washington.,tobacco; cigarette; commercial; politics,McCain Tobacco Tax Commercials,0:07:34
ssgb0039,This is a compliation of RJ Reynolds cigarette company commericals.,tobacco; cigarette; advertisement; marketing; promotion,R.J. REYNOLDS TOBACCO COMPANY CAMEL CIGARETTE 16MM COMMERCIAL TRANSFERS REEL #2 LENGTH 40:08 11/17/94 (941117). RUNNING TIME 0:42:45.,0:21:37
ssgp0190,"This is an informative video regarding national research into cigarettes and lung cancer at a labratory in Bar Harbor, Maine.",tobacco; cigarette,Video See it Now - Cigarettes and Lung Cancer - TI Research Committee,0:01:35
stgb0039,This is an inteview of a focus group by the Eclipse company.,tobacco; cigarette; focus group; marketing; product,"RALEIGH FOCUS GROUP, FINAL ROUGH CUT . RUNNING TIME 39:12.",0:21:06
stgp0190,"This is a CBS news story about tobacco companies and pubic health in relation with the Surgeon General, as well as an interview.",tobacco; cigarette; interview; news report; politics,Video CBS News Extra - Smoking and Health - Cullman Interview,0:02:55
sthh0257,Deposition of Steven Becker in RE: National Prescription Opiate Litigation; in 6 parts,lawsuit; legal activity; litigation; opioids; sales; marketing,"Deposition of Steven Becker, National Account Manager",1:11:07
sxdv0183,(error code: 224003),tobacco; cigarette,PHILIP MORRIS CLEARING THE AIR OPPORTUNITIES IN VENTILATION 991011 TRT : 5:45,0:08:55
sxhb0039,This is an outline of RJR's consumer mission.,tobacco; cigarette; goals; mission; targeted audience,"R.J. REYNOLDS TOBACCO COMPANY CONSUMER MISSION JANUARY, 1990 (900100) ",0:11:44
sxnj0229,This is a video of a lab researcher conducting research.,tobacco; cigarette; research; process; science,MASTES 1.MPG,2:02:47
sygl0191,A former cigarette company official admits that cigarette companies' goals were to convince the public that cigarettes aren't harmful. ,tobacco; cigarette; interview; companies,LP_2856 - Heimann03.mpg,0:00:34
sywv0183,(error code: 224003),tobacco; cigarette,A DAY IN THE LIFE OF PHILIP MORRIS PHILIP MORRIS CORPORATE IMAGE FILM FALL 900000,0:13:28
szdm0256,Clip from group discussion regarding physician speaker programs Part of the UCSF-JHU Opioid Industry Documents Archive; McKinsey Documents Collection,opioids; sales and marketing; physician speaker series,SPK DECK- Graphs- don't make me work,0:00:27
szgb0039,This is an interview with a real-life smoker regarding her cigarette use and how Marlboro cigarettes have helped her.,tobacco; cigarette; interview; testimonials; new product,MELISSA PATRICK CIT12,0:29:02
szhh0257,Deposition of Eric Hichman in Staubus et al v Purdue Pharma LP et al; in 4 parts,lawsuit; legal activity; litigation; opioids; sales; marketing,"Deposition of Eric Hichman, Specialty Sales Representative",0:59:46
tfhb0039,This is the higlights of Tom Griscom at the National Sales Meeting for tobacco companies.,tobacco; cigarette; sales,TOM GRISCOM HIGHLIGHTS OF 1994 (940000) NATIONAL SALES MEETING ,0:17:04
tfpx0069,"This is a compliation of advertisements by tobacco companies, encouraging viewers to stop Congress from imposing a tobacco tax.",tobacco; cigarette; advertisements; radio; legislaton,TAX AGENDA ADS,0:04:30
tfxh0257,Deposition of Terrence Terifay in RE: National Prescription Opiate Litigation; in 12 parts,lawsuit; legal activity; litigation; opioids; sales; marketing; <a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"Deposition of Terrence Terifay, Vice President of General Management/Marketing",01:11:12
tgfk0146,This is a news report about cigarette use in minors and its sale.,tobacco; cigarette; news report; news; legislation; politics,"THE TI; ""AMERICA'S VITAL SIGNS""; CNBC-TV; NBC; WASH. DC",0:03:49
tggy0152,This is an audio recording compliation of anti-legislation advertisement against tobacco companies.,tobacco; cigarette; advertisements; radio; legislaton,PROJECT BLUE SEE J CARD NATIONAL MEDIA 980626,0:12:53
tghb0039,This is a recording of a national sales conference of various tobacco company. Various speakers summarize the sucdess of the past year and set goals for the future.,tobacco; cigarette; company goals; sales,NATIONAL SALES MEETING HIGHLIGHTS,0:32:10
tghj0223,This is a smoking prevention video targetted toward youth. ,tobacco; cigarette; prevention,"YOUTH SMOKING PREVENTION, 'BUS' :30 'WHO YOU ARE' :30 'BEING DIFFERENT' :30.981112-KC.",0:05:47
