id,identifier,file_name,file_size,download_url
tgcl0046,tobacco_ymbv0039,tobacco_ymbv0039.mp4,49902643.0,https://archive.org/download/tobacco_ymbv0039_files.xml/tobacco_ymbv0039.mp4
tgcn0006,tobacco_cdy27a00,tobacco_cdy27a00.mp4,170060571.0,https://archive.org/download/tobacco_cdy27a00_files.xml/tobacco_cdy27a00.mp4
tgdc0072,tobacco_dib77c00,2080727128_512kb.mp4,7712132.0,https://archive.org/download/tobacco_dib77c00_files.xml/2080727128_512kb.mp4
tgdn0006,tobacco_ymy27a00,tobacco_ymy27a00.mp4,9957196.0,https://archive.org/download/tobacco_ymy27a00_files.xml/tobacco_ymy27a00.mp4
tgdy0104,tobacco_baw99d00,VTS_01_1_512kb.mp4,64702647.0,https://archive.org/download/tobacco_baw99d00_files.xml/VTS_01_1_512kb.mp4
tgfc0072,tobacco_vbc77c00,Bates_2084234643_chunk_1_512kb.mp4,37649267.0,https://archive.org/download/tobacco_vbc77c00_files.xml/Bates_2084234643_chunk_1_512kb.mp4
tgfk0146,tobacco_sdq91f00,tobacco_sdq91f00.mp4,23814501.0,https://archive.org/download/tobacco_sdq91f00_files.xml/tobacco_sdq91f00.mp4
tgfp0025,tobacco_nwm02b00,VTS_01_1_512kb.mp4,74384928.0,https://archive.org/download/tobacco_nwm02b00_files.xml/VTS_01_1_512kb.mp4
tggp0025,tobacco_mgn02b00,VTS_01_1_512kb.mp4,89937677.0,https://archive.org/download/tobacco_mgn02b00_files.xml/VTS_01_1_512kb.mp4
tggy0152,tobacco_ocn01h00,tobacco_ocn01h00.mp4,13847200.0,https://archive.org/download/tobacco_ocn01h00_files.xml/tobacco_ocn01h00.mp4
tghb0039,tobacco_hzj52b00,tobacco_hzj52b00.mp4,199263406.0,https://archive.org/download/tobacco_hzj52b00_files.xml/tobacco_hzj52b00.mp4
tghd0006,tobacco_tghd0006,tobacco_tghd0006.mp4,19870583.0,https://archive.org/download/tobacco_tghd0006_files.xml/tobacco_tghd0006.mp4
tghj0223,tobacco_tghj0223,tobacco_tghj0223.mp4,31354464.0,https://archive.org/download/tobacco_tghj0223_files.xml/tobacco_tghj0223.mp4
tgkv0183,tobacco_usc72i00,tobacco_usc72i00.mp4,22654658.0,https://archive.org/download/tobacco_usc72i00_files.xml/tobacco_usc72i00.mp4
tgkx0069,tobacco_muf67c00,Bates2073960841_0001_chunk_1_512kb.mp4,316451248.0,https://archive.org/download/tobacco_muf67c00_files.xml/Bates2073960841_0001_chunk_1_512kb.mp4
tgld0111,tobacco_man23e00,tobacco_man23e00.mp4,114786806.0,https://archive.org/download/tobacco_man23e00_files.xml/tobacco_man23e00.mp4
tgnf0064,tobacco_ojp47c00,10002051-0-2070151388_chunk_1_512kb.mp4,249537608.0,https://archive.org/download/tobacco_ojp47c00_files.xml/10002051-0-2070151388_chunk_1_512kb.mp4
tgnm0006,tobacco_wfw27a00,VTS_01_1_512kb.mp4,59797653.0,https://archive.org/download/tobacco_wfw27a00_files.xml/VTS_01_1_512kb.mp4
tgpm0006,tobacco_ozw27a00,tobacco_ozw27a00.mp4,128720040.0,https://archive.org/download/tobacco_ozw27a00_files.xml/tobacco_ozw27a00.mp4
tgvn0006,tobacco_kjx27a00,tobacco_kjx27a00.mp4,42412013.0,https://archive.org/download/tobacco_kjx27a00_files.xml/tobacco_kjx27a00.mp4
tgvx0257,opioids_tgvx0257,tgvx0257-0001.mp4,14251181.0,https://archive.org/download/opioids_tgvx0257_files.xml/tgvx0257-0001.mp4
tgwb0039,tobacco_mvi52b00,VTS_01_512kb.mp4,2770764.0,https://archive.org/download/tobacco_mvi52b00_files.xml/VTS_01_512kb.mp4
tgwk0146,tobacco_wtp91f00,VTS_01_1_512kb.mp4,23282989.0,https://archive.org/download/tobacco_wtp91f00_files.xml/VTS_01_1_512kb.mp4
tgwm0256,opioids_tgwm0256,opioids_tgwm0256.mp4,6625853.0,https://archive.org/download/opioids_tgwm0256_files.xml/opioids_tgwm0256.mp4
tgwn0006,tobacco_uwy27a00,VTS_01_1_512kb.mp4,31884393.0,https://archive.org/download/tobacco_uwy27a00_files.xml/VTS_01_1_512kb.mp4
tgwv0183,tobacco_pla72i00,tobacco_pla72i00.mp4,29813368.0,https://archive.org/download/tobacco_pla72i00_files.xml/tobacco_pla72i00.mp4
tgwy0104,tobacco_xjw99d00,93134623_512kb.mp4,123812060.0,https://archive.org/download/tobacco_xjw99d00_files.xml/93134623_512kb.mp4
tgxb0079,tobacco_xgq03d00,tobacco_xgq03d00.mp4,36056491.0,https://archive.org/download/tobacco_xgq03d00_files.xml/tobacco_xgq03d00.mp4
tgym0006,tobacco_spw27a00,tobacco_spw27a00.mp4,40498795.0,https://archive.org/download/tobacco_spw27a00_files.xml/tobacco_spw27a00.mp4
thbn0006,tobacco_wtx27a00,VTS_01_1_512kb.mp4,14960930.0,https://archive.org/download/tobacco_wtx27a00_files.xml/VTS_01_1_512kb.mp4
thcn0006,tobacco_sdy27a00,tobacco_sdy27a00.mp4,32439879.0,https://archive.org/download/tobacco_sdy27a00_files.xml/tobacco_sdy27a00.mp4
thdh0182,tobacco_ijw62i00,tobacco_ijw62i00.mp4,22615072.0,https://archive.org/download/tobacco_ijw62i00_files.xml/tobacco_ijw62i00.mp4
thdn0006,tobacco_ony27a00,tobacco_ony27a00.mp4,12478104.0,https://archive.org/download/tobacco_ony27a00_files.xml/tobacco_ony27a00.mp4
thfc0072,tobacco_lcc77c00,tobacco_lcc77c00.mp4,6241608.0,https://archive.org/download/tobacco_lcc77c00_files.xml/tobacco_lcc77c00.mp4
thgb0191,tobacco_btn18j00,tobacco_btn18j00.mp4,6309747.0,https://archive.org/download/tobacco_btn18j00_files.xml/tobacco_btn18j00.mp4
thgj0125,tta77e00,VTS_01_1_512kb.mp4,84409121.0,https://archive.org/download/tta77e00_files.xml/VTS_01_1_512kb.mp4
thhb0039,tobacco_xzj52b00,tobacco_xzj52b00-2.mp4,142942424.0,https://archive.org/download/tobacco_xzj52b00_files.xml/tobacco_xzj52b00-2.mp4
thly0104,tobacco_lbz99d00,tobacco_lbz99d00.mp4,9520126.0,https://archive.org/download/tobacco_lbz99d00_files.xml/tobacco_lbz99d00.mp4
thnm0006,tobacco_mgw27a00,mgw27a00.mp4,146533760.0,https://archive.org/download/tobacco_mgw27a00_files.xml/mgw27a00.mp4
thpd0111,tobacco_moo23e00,VTS_01_1_512kb.mp4,119972421.0,https://archive.org/download/tobacco_moo23e00_files.xml/VTS_01_1_512kb.mp4
thpm0006,tobacco_eax27a00,tobacco_eax27a00.mp4,190422174.0,https://archive.org/download/tobacco_eax27a00_files.xml/tobacco_eax27a00.mp4
thvn0006,tobacco_akx27a00,tobacco_akx27a00.mp4,106143115.0,https://archive.org/download/tobacco_akx27a00_files.xml/tobacco_akx27a00.mp4
thwb0039,tobacco_cwi52b00,VTS_01_512kb.mp4,30065596.0,https://archive.org/download/tobacco_cwi52b00_files.xml/VTS_01_512kb.mp4
thwk0146,tobacco_mup91f00,tobacco_mup91f00.mp4,182725112.0,https://archive.org/download/tobacco_mup91f00_files.xml/tobacco_mup91f00.mp4
thwn0006,tobacco_kxy27a00,tobacco_kxy27a00.mp4,381697593.0,https://archive.org/download/tobacco_kxy27a00_files.xml/tobacco_kxy27a00.mp4
thwy0104,tobacco_lkw99d00,Bates_93134682-4684_chunk_1_512kb.mp4,63234588.0,https://archive.org/download/tobacco_lkw99d00_files.xml/Bates_93134682-4684_chunk_1_512kb.mp4
thxb0079,tobacco_nhq03d00,tobacco_nhq03d00.mp4,197310833.0,https://archive.org/download/tobacco_nhq03d00_files.xml/tobacco_nhq03d00.mp4
thyd0111,tobacco_qeo23e00,tobacco_qeo23e00.mp4,91257306.0,https://archive.org/download/tobacco_qeo23e00_files.xml/tobacco_qeo23e00.mp4
thym0006,tobacco_iqw27a00,tobacco_iqw27a00.mp4,119851930.0,https://archive.org/download/tobacco_iqw27a00_files.xml/tobacco_iqw27a00.mp4
tjbn0006,tobacco_cvx27a00,tobacco_cvx27a00.mp4,201482117.0,https://archive.org/download/tobacco_cvx27a00_files.xml/tobacco_cvx27a00.mp4
tjcm0132,tvu03f00,VTS_01_1_512kb.mp4,49744541.0,https://archive.org/download/tvu03f00_files.xml/VTS_01_1_512kb.mp4
tjcw0111,tobacco_gtp23e00,tobacco_gtp23e00.mp4,96028692.0,https://archive.org/download/tobacco_gtp23e00_files.xml/tobacco_gtp23e00.mp4
tjdk0146,tobacco_tuy27a00,tobacco_tuy27a00.mp4,56380958.0,https://archive.org/download/tobacco_tuy27a00_files.xml/tobacco_tuy27a00.mp4
tjdn0006,tobacco_uoy27a00,tobacco_uoy27a00.mp4,22355592.0,https://archive.org/download/tobacco_uoy27a00_files.xml/tobacco_uoy27a00.mp4
tjdv0183,tobacco_pda72i00,tobacco_pda72i00.mp4,27219275.0,https://archive.org/download/tobacco_pda72i00_files.xml/tobacco_pda72i00.mp4
tjfc0072,tobacco_rdc77c00,tobacco_rdc77c00.mp4,76288129.0,https://archive.org/download/tobacco_rdc77c00_files.xml/tobacco_rdc77c00.mp4
tjhb0039,tobacco_dbk52b00,tobacco_dbk52b00-3.mp4,117931137.0,https://archive.org/download/tobacco_dbk52b00_files.xml/tobacco_dbk52b00-3.mp4
tjhk0146,tobacco_gzq91f00,VTS_01_1_512kb.mp4,125993681.0,https://archive.org/download/tobacco_gzq91f00_files.xml/VTS_01_1_512kb.mp4
tjlf0064,tobacco_sro47c00,Bates_2063807032_chunk_1_512kb.mp4,206585415.0,https://archive.org/download/tobacco_sro47c00_files.xml/Bates_2063807032_chunk_1_512kb.mp4
tjmm0006,tobacco_wxv27a00,tobacco_wxv27a00.mp4,213700941.0,https://archive.org/download/tobacco_wxv27a00_files.xml/tobacco_wxv27a00.mp4
tjnj0229,tobacco_tjnj0229,tobacco_tjnj0229.mp4,674776.0,https://archive.org/download/tobacco_tjnj0229_files.xml/tobacco_tjnj0229.mp4
tjnm0006,tobacco_shw27a00,tobacco_shw27a00.mp4,186938330.0,https://archive.org/download/tobacco_shw27a00_files.xml/tobacco_shw27a00.mp4
tjnv0001,tobacco_rzx03a00,tobacco_rzx03a00.mp4,83615966.0,https://archive.org/download/tobacco_rzx03a00_files.xml/tobacco_rzx03a00.mp4
tjpm0006,tobacco_kbx27a00,tobacco_kbx27a00.mp4,34299405.0,https://archive.org/download/tobacco_kbx27a00_files.xml/tobacco_kbx27a00.mp4
tjvn0006,tobacco_glx27a00,tobacco_glx27a00.mp4,28505614.0,https://archive.org/download/tobacco_glx27a00_files.xml/tobacco_glx27a00.mp4
tjwb0039,tobacco_ixi52b00,VTS_01_512kb.mp4,261410741.0,https://archive.org/download/tobacco_ixi52b00_files.xml/VTS_01_512kb.mp4
tjwc0072,tobacco_vtb77c00,2083639157_512kb.mp4,34835184.0,https://archive.org/download/tobacco_vtb77c00_files.xml/2083639157_512kb.mp4
tjwk0146,tobacco_svp91f00,tobacco_svp91f00.mp4,146148218.0,https://archive.org/download/tobacco_svp91f00_files.xml/tobacco_svp91f00.mp4
tjwl0154,tobacco_spv08h00,tobacco_spv08h00_2.mp4,6837217.0,https://archive.org/download/tobacco_spv08h00_files.xml/tobacco_spv08h00_2.mp4
tjwn0006,tobacco_qyy27a00,VTS_01_2_512kb.mp4,24200423.0,https://archive.org/download/tobacco_qyy27a00_files.xml/VTS_01_2_512kb.mp4
tjxb0079,tobacco_tiq03d00,tobacco_tiq03d00.mp4,22428875.0,https://archive.org/download/tobacco_tiq03d00_files.xml/tobacco_tiq03d00.mp4
tjym0006,tobacco_orw27a00,tobacco_orw27a00.mp4,281710326.0,https://archive.org/download/tobacco_orw27a00_files.xml/tobacco_orw27a00.mp4
tkbm0132,tobacco_nmu03f00,170500010_512kb.mp4,4099968.0,https://archive.org/download/tobacco_nmu03f00_files.xml/170500010_512kb.mp4
tkbn0006,tobacco_svx27a00,tobacco_svx27a00.mp4,409163844.0,https://archive.org/download/tobacco_svx27a00_files.xml/tobacco_svx27a00.mp4
tkcm0132,tobacco_jwu03f00,170500127_b_512kb.mp4,67849202.0,https://archive.org/download/tobacco_jwu03f00_files.xml/170500127_b_512kb.mp4
tkcn0006,tobacco_ofy27a00,tobacco_ofy27a00.mp4,82650875.0,https://archive.org/download/tobacco_ofy27a00_files.xml/tobacco_ofy27a00.mp4
tkdb0018,tobacco_tkdb0018,2020217977.mp4,741512174.0,https://archive.org/download/tobacco_tkdb0018_files.xml/2020217977.mp4
tkdk0146,tobacco_mmp91f00,Bates_TIFLTAPE144_chunk_1_512kb.mp4,117598686.0,https://archive.org/download/tobacco_mmp91f00_files.xml/Bates_TIFLTAPE144_chunk_1_512kb.mp4
tkdn0006,tobacco_kpy27a00,VTS_01_1_512kb.mp4,14701650.0,https://archive.org/download/tobacco_kpy27a00_files.xml/VTS_01_1_512kb.mp4
tkfp0025,tobacco_wum02b00,VTS_01_1_512kb.mp4,69103652.0,https://archive.org/download/tobacco_wum02b00_files.xml/VTS_01_1_512kb.mp4
tkhb0039,tobacco_tbk52b00,tobacco_tbk52b00.mp4,66378635.0,https://archive.org/download/tobacco_tbk52b00_files.xml/tobacco_tbk52b00.mp4
tkhk0146,tobacco_wzq91f00,tobacco_wzq91f00.mp4,69905028.0,https://archive.org/download/tobacco_wzq91f00_files.xml/tobacco_wzq91f00.mp4
tkmj0125,tobacco_rcd77e00,Bates_2058073163_chunk_1_512kb.mp4,16446722.0,https://archive.org/download/tobacco_rcd77e00_files.xml/Bates_2058073163_chunk_1_512kb.mp4
tkmm0006,tobacco_myv27a00,tobacco_myv27a00.mp4,19487202.0,https://archive.org/download/tobacco_myv27a00_files.xml/tobacco_myv27a00.mp4
tknh0063,tobacco_plh44c00,tobacco_plh44c00.mp4,170743862.0,https://archive.org/download/tobacco_plh44c00_files.xml/tobacco_plh44c00.mp4
tknm0006,tobacco_iiw27a00,tobacco_iiw27a00.mp4,346102408.0,https://archive.org/download/tobacco_iiw27a00_files.xml/tobacco_iiw27a00.mp4
tkpg0001,tobacco_lpp06a00,tobacco_lpp06a00.mp4,565140389.0,https://archive.org/download/tobacco_lpp06a00_files.xml/tobacco_lpp06a00.mp4
tkpm0006,tobacco_acx27a00,tobacco_acx27a00.mp4,13389260.0,https://archive.org/download/tobacco_acx27a00_files.xml/tobacco_acx27a00.mp4
tkpw0097,tobacco_tno71d00,VTS_01_1_512kb.mp4,120000336.0,https://archive.org/download/tobacco_tno71d00_files.xml/VTS_01_1_512kb.mp4
tkvn0006,tobacco_wlx27a00,tobacco_wlx27a00.mp4,12047937.0,https://archive.org/download/tobacco_wlx27a00_files.xml/tobacco_wlx27a00.mp4
tkwb0039,tobacco_yxi52b00,VTS_01_512kb.mp4,7025633.0,https://archive.org/download/tobacco_yxi52b00_files.xml/VTS_01_512kb.mp4
tkwn0006,tobacco_gzy27a00,tobacco_gzy27a00.mp4,66315038.0,https://archive.org/download/tobacco_gzy27a00_files.xml/tobacco_gzy27a00.mp4
tkww0111,tobacco_onq23e00,tobacco_onq23e00.mp4,139068231.0,https://archive.org/download/tobacco_onq23e00_files.xml/tobacco_onq23e00.mp4
tkyh0015,tobacco_qbr62a00,tobacco_qbr62a00.mp4,9388190.0,https://archive.org/download/tobacco_qbr62a00_files.xml/tobacco_qbr62a00.mp4
tkym0006,tobacco_esw27a00,tobacco_esw27a00.mp4,146033770.0,https://archive.org/download/tobacco_esw27a00_files.xml/tobacco_esw27a00.mp4
tlbm0132,tobacco_dnu03f00,170500026_512kb.mp4,4251667.0,https://archive.org/download/tobacco_dnu03f00_files.xml/170500026_512kb.mp4
tlbn0006,tobacco_iwx27a00,tobacco_iwx27a00.mp4,32219264.0,https://archive.org/download/tobacco_iwx27a00_files.xml/tobacco_iwx27a00.mp4
tlbp0124,tobacco_pjq74e00,2058500004_512kb.mp4,279439110.0,https://archive.org/download/tobacco_pjq74e00_files.xml/2058500004_512kb.mp4
tlcm0132,tobacco_zwu03f00,170500143_512kb.mp4,33914621.0,https://archive.org/download/tobacco_zwu03f00_files.xml/170500143_512kb.mp4
tlcn0006,Tobacco_egy27a00,Tobacco_egy27a00b.mp4,1281633410.0,https://archive.org/download/Tobacco_egy27a00_files.xml/Tobacco_egy27a00b.mp4
tlcn0006,tobacco_egy27a00a,egy27a00b.mp4,1281633410.0,https://archive.org/download/tobacco_egy27a00a_files.xml/egy27a00b.mp4
tldh0013,tobacco_hxp54a00,Bates_91836016-6017_chunk_1_512kb.mp4,27959119.0,https://archive.org/download/tobacco_hxp54a00_files.xml/Bates_91836016-6017_chunk_1_512kb.mp4
tldn0006,tobacco_aqy27a00,tobacco_aqy27a00.mp4,50293795.0,https://archive.org/download/tobacco_aqy27a00_files.xml/tobacco_aqy27a00.mp4
tldw0111,tobacco_tldw0111,2042914827-4828.mp4,35270461.0,https://archive.org/download/tobacco_tldw0111_files.xml/2042914827-4828.mp4
tlfp0025,tobacco_szm02b00,VTS_01_1_512kb.mp4,297967241.0,https://archive.org/download/tobacco_szm02b00_files.xml/VTS_01_1_512kb.mp4
tlgp0025,tobacco_ojn02b00,VTS_01_5_512kb.mp4,3696765.0,https://archive.org/download/tobacco_ojn02b00_files.xml/VTS_01_5_512kb.mp4
tlgy0021,tobacco_tkx86a00,tobacco_tkx86a00.mp4,154429791.0,https://archive.org/download/tobacco_tkx86a00_files.xml/tobacco_tkx86a00.mp4
tlhb0039,tobacco_jck52b00,tobacco_jck52b00.mp4,138141264.0,https://archive.org/download/tobacco_jck52b00_files.xml/tobacco_jck52b00.mp4
tlhk0146,tobacco_mar91f00,tobacco_mar91f00.mp4,156276781.0,https://archive.org/download/tobacco_mar91f00_files.xml/tobacco_mar91f00.mp4
tlky0104,tobacco_auy99d00,Bates_80716721and6723_512kb.mp4,5792760.0,https://archive.org/download/tobacco_auy99d00_files.xml/Bates_80716721and6723_512kb.mp4
tlly0104,tobacco_ocz99d00,tobacco_ocz99d00.mp4,23279724.0,https://archive.org/download/tobacco_ocz99d00_files.xml/tobacco_ocz99d00.mp4
tlmm0006,tobacco_czv27a00,tobacco_czv27a00.mp4,655465936.0,https://archive.org/download/tobacco_czv27a00_files.xml/tobacco_czv27a00.mp4
tlnm0006,tobacco_yiw27a00,tobacco_yiw27a00.mp4,993981472.0,https://archive.org/download/tobacco_yiw27a00_files.xml/tobacco_yiw27a00.mp4
tlpj0015,tobacco_epd63a00,VTS_01_1_512kb.mp4,33008351.0,https://archive.org/download/tobacco_epd63a00_files.xml/VTS_01_1_512kb.mp4
tlpm0006,tobacco_qcx27a00,tobacco_qcx27a00.mp4,357215761.0,https://archive.org/download/tobacco_qcx27a00_files.xml/tobacco_qcx27a00.mp4
tlvn0006,tobacco_mmx27a00,tobacco_mmx27a00.mp4,55717993.0,https://archive.org/download/tobacco_mmx27a00_files.xml/tobacco_mmx27a00.mp4
